user_id,item_id,item_name,item_rank,item_score,iteration,critiqued_keyphrase,target_rank,num_existing_keyphrases,result,theta,critiqued_keyphrase_name,lambda
5177,1013,NOT_FOUND,,,0,,1,73,,,,
5177,1013,NOT_FOUND,464,0.02981179894678851,1,74,1,73,,,pepper,[1]
5177,1013,NOT_FOUND,159,0.11219469703155714,2,46,1,73,,,beige,"[1, 1]"
5177,1013,NOT_FOUND,109,0.17167345461849798,3,43,1,73,,,tan,"[1, 1, 1]"
5177,1013,NOT_FOUND,107,0.18481830072811742,4,36,1,73,,,crisp,"[1, 1, 1, 1]"
5177,1013,NOT_FOUND,139,0.14350265023755213,5,56,1,73,,,syrup,"[1, 1, 1, 1, 1]"
5177,1013,NOT_FOUND,360,0.08843260097103549,6,28,1,73,,,chew,"[1, 1, 1, 1, 1, 1]"
5177,1013,NOT_FOUND,318,0.11902792631809753,7,2,1,73,,,caramel,"[1, 1, 1, 1, 1, 1, 1]"
5177,1013,NOT_FOUND,171,0.1853997044376581,8,9,1,73,,,wheat,"[1, 1, 1, 1, 1, 1, 1, 1]"
5177,1013,NOT_FOUND,44,0.34465835558772007,9,62,1,73,,,cherry,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
5177,1013,NOT_FOUND,48,0.3466301087947175,10,31,1,73,,, pine ,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
5177,1013,NOT_FOUND,83,0.3402509942118765,11,6,1,73,,,chocolate,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
5177,1013,NOT_FOUND,67,0.41965904667157844,12,63,1,73,,,plum,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
5177,1013,NOT_FOUND,68,0.4581874445150412,13,41,1,73,,,offwhite,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
5177,1013,NOT_FOUND,58,0.522290082067605,14,73,1,73,,,coriander,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
5177,1013,NOT_FOUND,55,0.5827219912092441,15,45,1,73,,,gold,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
5177,1013,NOT_FOUND,94,0.49112320999424536,16,37,1,73,,,pungent,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
5177,1013,NOT_FOUND,105,0.49410498207727116,17,4,1,73,,,toast,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
5177,1013,NOT_FOUND,114,0.4744343771979504,18,5,1,73,,,bread,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
5177,1013,NOT_FOUND,121,0.47965794117203,19,70,1,73,,,raspberry,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
5177,1013,NOT_FOUND,124,0.5031721756495194,20,21,1,73,fail,,spic,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
5177,1490,NOT_FOUND,,,0,,1,69,,,spic,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
5177,1490,NOT_FOUND,1428,-0.0033977385906442115,1,26,1,69,,,grass,[1]
5177,1490,NOT_FOUND,2032,-0.014271299776376416,2,60,1,69,,,ruby,"[1, 1]"
5177,1490,NOT_FOUND,3237,-0.025656609499198957,3,32,1,69,,,herbal,"[1, 1, 1]"
5177,1490,NOT_FOUND,2077,0.0012746554418353664,4,3,1,69,,,backbone,"[1, 1, 1, 1]"
5177,1490,NOT_FOUND,2835,-0.015356300276832786,5,25,1,69,,, rye ,"[1, 1, 1, 1, 1]"
5177,1490,NOT_FOUND,2931,-0.02234630651737301,6,52,1,69,,,watery,"[1, 1, 1, 1, 1, 1]"
5177,1490,NOT_FOUND,3291,-0.04591331623515135,7,58,1,69,,, red ,"[1, 1, 1, 1, 1, 1, 1]"
5177,1490,NOT_FOUND,2927,-0.0234863800108603,8,59,1,69,,,mahogany,"[1, 1, 1, 1, 1, 1, 1, 1]"
5177,1490,NOT_FOUND,2566,-0.006728890626142799,9,45,1,69,,,gold,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
5177,1490,NOT_FOUND,2986,-0.023191336433210346,10,8,1,69,,,coffee,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
