user_id,item_id,item_name,item_rank,item_score,iteration,critiqued_keyphrase,target_rank,num_existing_keyphrases,result,theta,critiqued_keyphrase_name
0.0,1346.0,,,,0.0,,1.0,20.0,,,
0.0,1346.0,,2213.0,0.0011071804130204843,1.0,1.0,1.0,20.0,,"[1.0, 1.0]",rock
0.0,1346.0,,2428.0,0.001368813868680957,2.0,3.0,1.0,20.0,,"[1.0, 1.0, 1.0]",metal
0.0,1346.0,,2413.0,0.0009291865680221608,3.0,4.0,1.0,20.0,,"[1.0, 1.0, 2.0, 1.0]",chorus
0.0,1346.0,,2622.0,0.001672718988502092,4.0,5.0,1.0,20.0,,"[1.0, 1.0, 2.0, 1.0, 1.0]",pop
0.0,1346.0,,2941.0,-0.002585610474978301,5.0,7.0,1.0,20.0,,"[1.0, 1.0, 2.0, 1.0, 1.0, 1.0]",indie
0.0,1346.0,,2389.0,0.0031289251106613224,6.0,8.0,1.0,20.0,,"[1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0]",classicrock
0.0,1346.0,,2603.0,0.0014664644600499831,7.0,9.0,1.0,20.0,,"[1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hardrock
0.0,1346.0,,2171.0,0.009531305605640642,8.0,10.0,1.0,20.0,,"[1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 2.0, 2.0, 1.0]",countrymusic
0.0,1346.0,,1869.0,0.019050895211416924,9.0,11.0,1.0,20.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, -2.0, 2.0, 2.0, 1.0, 1.0]",folk
0.0,1346.0,,1930.0,0.019754352403060456,10.0,12.0,1.0,20.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, -2.0, 2.0, 2.0, 1.0, 1.0, 1.0]",rap
0.0,1346.0,,1738.0,0.024438626824727156,11.0,15.0,1.0,20.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, -2.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0]",christian
0.0,1346.0,,1903.0,0.022094858346836502,12.0,16.0,1.0,20.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, -2.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0]",gospel
