user_id,item_id,item_name,item_rank,item_score,iteration,critiqued_keyphrase,target_rank,num_existing_keyphrases,result,theta,critiqued_keyphrase_name
0.0,1346.0,,,,0.0,,1.0,20.0,,,
0.0,1346.0,,2571.0,-0.0001302448416373803,1.0,1.0,1.0,20.0,,"[2.0, 1.0]",rock
0.0,1346.0,,2701.0,0.0007501012413520247,2.0,3.0,1.0,20.0,,"[2.0, 1.0, 1.0]",metal
0.0,1346.0,,2413.0,0.0009291865680221608,3.0,4.0,1.0,20.0,,"[1.0, 1.0, 2.0, 1.0]",chorus
0.0,1346.0,,2622.0,0.001672718988502092,4.0,5.0,1.0,20.0,,"[1.0, 1.0, 2.0, 1.0, 1.0]",pop
0.0,1346.0,,2151.0,0.010374991668736951,5.0,7.0,1.0,20.0,,"[1.0, 1.0, 2.0, 1.0, 1.0, -2.0]",indie
0.0,1346.0,,1581.0,0.025278226463350185,6.0,8.0,1.0,20.0,,"[1.0, 2.0, 2.0, 1.0, 1.0, -2.0, 2.0]",classicrock
0.0,1346.0,,1701.0,0.02279019967036416,7.0,9.0,1.0,20.0,,"[1.0, 2.0, 2.0, -2.0, 1.0, -2.0, 2.0, 2.0]",hardrock
0.0,1346.0,,1992.0,0.01468953783549497,8.0,10.0,1.0,20.0,,"[1.0, 2.0, 2.0, -2.0, 1.0, -2.0, 2.0, 2.0, -2.0]",countrymusic
0.0,1346.0,,2179.0,0.01089144612588756,9.0,11.0,1.0,20.0,,"[1.0, 2.0, 2.0, -2.0, 1.0, -2.0, 2.0, 2.0, -2.0, 1.0]",folk
0.0,1346.0,,2234.0,0.011594903317531078,10.0,12.0,1.0,20.0,,"[1.0, 2.0, 2.0, -2.0, 1.0, -2.0, 2.0, 2.0, -2.0, 1.0, 1.0]",rap
0.0,1346.0,,2632.0,0.0022601024610880774,11.0,15.0,1.0,20.0,,"[1.0, 2.0, 2.0, -2.0, 1.0, -2.0, 2.0, 2.0, -2.0, 1.0, 1.0, -2.0]",christian
0.0,1346.0,,2308.0,0.0069757627101741815,12.0,16.0,1.0,20.0,,"[1.0, 2.0, 2.0, -2.0, 1.0, -2.0, 2.0, 2.0, -2.0, 1.0, 1.0, -2.0, -2.0]",gospel
0.0,1346.0,,2149.0,0.011560587217822917,13.0,17.0,1.0,20.0,,"[1.0, 2.0, 2.0, -2.0, 1.0, -2.0, 2.0, 2.0, -2.0, 1.0, 1.0, -2.0, -2.0, 1.0]",soundtrack
0.0,1346.0,,2037.0,0.011432319482102169,14.0,18.0,1.0,20.0,,"[1.0, 2.0, 2.0, -2.0, 1.0, -2.0, 2.0, 2.0, -2.0, 1.0, 1.0, -2.0, -2.0, 1.0, -2.0]",dance
